,capHir1,SC,criGri1,chiLan1,PPEMM,oryAfe1,MM,HPGPNRMPCCSOT,CCO,ECFCMAOLPPEMM,HPGPNRMPC,HPGPNRMPCCSOTSJMCMMRHCCOOOSVCTOPBOCECFCMAOLPPEMMESC,camFer1,VCTOPBOC,lepWed1,macFas5,oviAri3,HPGPNRMPCCSO,TO,TOPBOC,papAnu2,mesAur1,AOL,loxAfr3,JMCMMR,ECFCMAOL,panHod1,otoGar3,dasNov3,LETCEO,CE,MAOL,OL,PBOC,bosTau8,pteVam1,rn6,odoRosDiv1,ochPri3,LE,FCMAOL,HCCO,HPGPNRMPCCSOTSJMCMMRHCCOOOSVCTOPBOCECFCMAOLPPEMMESCLETCEOD,chlSab2,CM,musFur1,ESC,susScr3,eriEur2,vicPac2,hg38,pteAle1,myoDav1,HPGP,RM,ponAbe2,SVCTOPBOCECFCMAOLPPEMM,SJMCMMRHCCOOO,RMP,CO,panTro4,cerSim1,triMan1,OO,conCri1,myoLuc2,LET,speTri2,cavPor3,gorGor3,BOC,HPG,MCMMR,CS,echTel2,felCat8,oryCun2,VC,HP,MR,equCab2,eptFus1,HPGPN,canFam3,sorAra2,hetGla2,nomLeu3,octDeg1,rheMac3,RMPC,HPGPNRMPCCS,turTru2,saiBol1,SVCTOPBOC,EMM,OC,SJMCMMR,MCM,LETCE,calJac3,SJMCMMRHCCO,eleEdw1,SVCTOPBOCECFCMAOLPPEMMESC,mm10,chrAsi1,jacJac1,CMAOL,ailMel1,LETCEOD,orcOrc1,EC,PP,HPGPNRMPCCSOTSJMCMMRHCCOOO,micOch1,tupChi1,y
chr16:23683963_23684064_+,0.01787225,0.013800322,0.018987875,0.013147846999999999,0.021465203,0.01228169,0.012042569,0.018973615,0.018646307,0.028157812999999997,0.017384443,0.014772868,0.014266703,0.016924018,0.012719786,0.017384443,0.019653134,0.018973615,0.017886251000000002,0.017361749,0.017384443,0.014102895,0.014682612,0.02928046,0.013751151000000001,0.028157812999999997,0.019458963,0.02179826,0.02951939,0.019397703999999998,0.020269405,0.014682612,0.011622482,0.01787225,0.01787225,,0.014747399,0.011622482,0.012782044,0.02928046,0.022831962,0.018646307,0.014772868,0.017384443,0.013629646,0.020771,0.013800322,0.01633177,0.014163114,0.016469851,0.01749494,0.008270991,0.012042569,0.01581393,0.017384443,0.01581393,0.01781474,0.014645628999999999,0.017384443,0.014080417,0.015160972,0.034212776,0.028455524,0.013085581,0.023907222000000002,0.012198899999999999,0.02928046,0.017196054,0.017292071000000003,0.01581393,0.01787225,0.01581393,0.013301533,0.016675295,0.015973438,0.026768176,0.011427864,0.014266703,0.01581393,0.01536206,0.016003117,0.019247863,0.01581393,0.014901421000000001,0.010207001,0.016330557,0.01581393,,0.017384443,0.017384443,0.016039861000000002,0.017886251000000002,0.016675295,0.016342673000000002,0.019247863,0.01787225,0.014043833,0.013148418,0.01997941,0.019686285,0.016934423,0.016149487,0.013930385,0.01536206,0.011154292,0.011767463,0.022096056,0.021166703,0.016074486000000002,0.017886251000000002,0.02746054,0.0135248555,0.018973615,0.012675823000000001,0.022510815,0
chr15:48126382_48126483_+,,,0.030038587999999998,0.043917305999999996,0.056113675,0.09915198,,0.08172582,0.045299467,0.06620582,0.027432805,0.06253464,,,0.10309473400000001,0.026181895,,0.11058014,,,0.01747689,,0.07221683,0.05603327,0.12723227,0.06620582,,,,0.070006005,0.02103549,0.07221683,0.09125942,,,0.023393808,0.018016824,0.048324898,,0.047282397999999996,0.07229566,0.045299467,0.057975676,0.018450664,0.030423801,,0.0646519,0.05146179,0.10614071,,0.15389968,0.042687986,,0.027094344,0.026181895,0.029015204,0.06620582,0.07748545,0.02849894,0.04721646,0.025338093,0.024684232,0.043101043,,,,0.04622335,0.12311164,,0.025338093,,0.025338093,0.044256236,0.035592753,0.015428783,0.06142325,,,0.025338093,0.049281538,0.028683687000000003,,0.027094344,0.07903227,,0.031895842,0.019463604,0.03228298,0.026181895,0.02849894,0.054141756,,0.035150192999999996,0.056113675,,,0.09826148,0.02354818,0.047165222,0.042744514000000004,0.09826148,0.09651439999999999,0.06620582,0.038889308,0.016195964,0.10742104,0.07221683,0.07543609,0.064665474,,0.045101296,0.040527087,0.08172582,0.013187845,0.15794533,0
chr10:91476502_91476603_+,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0041257804,,,0.0041199476,,0.0041990005,,,,,0.004122206,,,,,,,,,0.004122206,,0.004122206,,,0.0091307955,,,,0.004122206,,,,0.003985515,,,,0.0036827284000000003,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
chr1:244853458_244853559_-,0.714356,0.714356,0.44173527,0.7088723000000001,0.71157056,0.714356,0.71157056,0.714356,0.7088723000000001,0.714356,0.714356,0.714356,0.714356,0.714356,0.70534045,0.714356,0.714356,0.714356,0.714356,0.714356,0.714356,0.44173527,0.70534045,0.714356,0.714356,0.714356,0.714356,0.714356,0.71698916,0.714356,0.45476735,0.70534045,0.70534045,0.714356,0.714356,0.71886045,0.714356,0.70534045,0.71265095,0.714356,0.714356,0.7088723000000001,0.714356,0.714356,0.44173527,0.70534045,0.714356,0.714356,0.71179736,0.714356,0.714356,0.71886045,0.71157056,0.714356,0.714356,0.714356,0.714356,0.714356,0.714356,0.7088723000000001,0.714356,0.714356,0.714356,0.714356,0.71610445,0.71157056,0.714356,,0.7088723000000001,0.714356,0.714356,0.714356,0.714356,0.714356,0.45476735,0.714356,0.73099047,0.714356,0.714356,0.714356,0.714356,0.71157056,0.714356,0.714356,0.714356,0.7088723000000001,0.714356,0.7088723000000001,0.714356,0.714356,0.714356,0.714356,0.714356,0.714356,0.71157056,0.714356,0.714356,0.44173527,0.714356,0.714356,0.714356,,0.714356,0.714356,0.45476735,0.714356,0.714356,0.6998456999999999,0.714356,0.714356,0.714356,0.71886045,0.714356,0.4333447,0.714356,1
chr6:112086299_112086400_-,0.26516488,0.5423355,0.020514192,0.23949593,0.08898954,,0.30520959999999997,0.38680843,0.7375563,0.07642986,0.36900243,0.38951790000000003,0.12361267,0.073147826,0.12029089,0.45345467,0.2416936,0.38680843,0.06378319,0.07578581,0.34744063,,0.12216274,,0.074167565,0.07614101,0.53452045,,0.81150323,0.3884188,0.7892332,0.120052226,0.12216274,0.04769626,0.046579547,0.07273181,0.012592593999999999,0.11011436599999999,0.059455182,,0.068480216,0.47648950000000007,0.35972542,0.41864032,0.021065611,0.39013508,0.079310104,0.022274056,,0.118883125,0.33552116,0.07273181,0.52096236,0.36866045,0.45930746,0.07821184,0.07642986,0.3552504,0.3960442,0.7392123,0.3632778,0.11839037,0.74628717,0.032409824,0.5528432,0.30174622,0.76570666,0.07855196,0.35965675,0.3632778,0.04769626,0.3632778,0.03875632,0.38820878,0.53214544,0.081959434,0.031476825,0.12361267,0.3632778,0.012553782,0.05242928,0.25972393,0.36866045,,,,0.2619112,,0.37326220000000004,0.3960442,0.36900243,0.06378319,0.049430452,0.073147826,0.2903236,0.26516488,0.20731045,0.018019427,0.78582317,0.38738698,0.16848642,,0.07642986,0.014053911,0.5921945,0.23533453,0.068480216,0.11206534,0.34440538,0.06378319,0.08465471,0.07273181,0.38680843,,0.6691017,0
chr14:50589238_50589339_+,,,,,,0.01164573,,,,,0.015962066,,,,,0.012374858,,,,,0.010010451,,,,,,,,,,,,,,,,,,,,,,,0.0100884205,,,,,,,0.019752348,,,0.018071184,0.012374858,0.018174907,,,0.0100884205,,0.018175919,,,,,,,,,,,0.018071184,,0.014705569,,,,,0.018071184,,,,0.018071184,,,,0.0199954,,0.015086083,0.0100884205,0.012679428000000001,,0.01366148,,,,,,,0.029790193,,,,,,,,,,,,,,,,0
chr17:30465747_30465848_+,0.2912018,0.5678443,0.105367355,0.11462859,0.35236254,0.16677454,0.21998915,0.28639656,0.28723055,0.31772593,0.28275862,0.31772593,0.019262893,0.31946704,0.061328046,0.28275862,0.2912018,0.28639656,0.13072221,0.30794144,0.6331368,0.036540862,0.061328046,0.23197466,0.2857956,0.24455625,0.2912018,0.15821141,0.07161662,0.17408119,0.16972864,0.061328046,0.061328046,0.29832125,0.29832125,0.6214784000000001,0.123471506,0.07355060000000001,0.17205444,0.16629662,0.24418099,0.28723055,0.31559417,0.27620032,0.10414506,0.026538111,0.33060467,0.25213522,0.23586245,0.019683465,0.28275862,0.38891587,0.21783759,0.28275862,0.28275862,0.26081935,0.31772593,0.27469933,0.28275862,0.3077972,0.28984982,0.41107829999999995,0.07397365,0.49425223,0.5482479,0.21998915,0.17296474,0.27976367,0.027968785,0.28275862,0.29832125,0.28275862,0.07574084,0.28275862,0.2538058,0.0795813,0.39740902,0.022523751,0.28275862,0.083663315,0.22873195,0.23859982,0.28275862,0.063352756,0.12514652,0.30643067,0.28275862,0.33383098,0.28275862,0.28275862,0.28275862,0.13072221,0.28389415,0.32171103,0.21998915,0.2912018,0.27144274,0.10414506,0.16972864,0.27212159999999996,0.27144274,0.14393352,0.31772593,0.025729204,0.17663261,0.7546655,0.061328046,0.14952569,0.31369877,0.13072221,0.24210808,0.38891587,0.27886873,0.08834335,0.15186192,1
chr2:100286353_100286454_-,0.009081178,0.018736664,0.012868968,,0.010033917,,,0.011100988000000001,,0.010972200000000001,0.013998557,0.011177491999999999,0.011481438,0.009345699,0.008637814,0.010758491,0.008797375999999999,0.011528388999999998,0.0087010665,0.009684446999999999,0.011347303000000001,0.008993767,0.0064968416,,0.015598876000000001,0.010291108,0.013834492,0.009050798,0.009424054,0.022176877,,0.006407479000000001,0.008175636,0.0109726405,,0.007054898,,0.008175636,0.011365631000000001,0.2560642,0.006058098299999999,0.015893916,0.011588592,0.012596188999999999,0.012232324,0.006340003,0.010560798,0.009636228,,0.010374519,0.01489131,0.007698273,,0.01387848,0.0116213495,0.01440013,0.010972200000000001,0.011029397,0.010935105,,0.01489131,0.0062340945,,0.012330825,0.022655675,,0.07014363,0.022368962000000003,,0.01489131,0.011704398999999999,0.01489131,0.012186049,0.013682435,,0.005387599599999999,0.024392819,0.009999362,0.01489131,,0.009824817,,0.01387848,0.0060465136,,0.011637692,0.012680837,,0.0116213495,0.010935105,0.012634629,0.008897505,0.01402142,0.009287621999999999,,0.008734622,0.01399586,0.010205951500000001,0.06289969,0.014740521000000001,0.012255179,0.18902254,0.010560798,,,,0.005915192,0.0085678445,0.014375434,0.0087010665,0.008195853000000001,0.007054898,0.011100988000000001,0.009182832,,0
chr19:43527931_43528032_+,,,,,,,,,,,0.007339331,,,,,,,,,,,,,,,,,,0.031834062,,,,,,,,,,,,,,,0.008834281,,,,,,,0.0077948290000000005,,,0.0077948290000000005,,0.007683800000000001,,,,,,,,,,,,,,0.008169823,,0.0077948290000000005,,0.006914516999999999,,,,,0.0077948290000000005,,,,0.0076768340000000004,,,,0.008018075500000001,,,0.007860707,0.0072036437,,0.0065957485,,,,,,,0.0075378777,,,,,,,,,,,,,,,,0
chr5:170106247_170106348_+,,0.005454992,0.023337234,0.0068366867000000005,0.004563765,0.0055567003,,0.004906807,0.0059859169999999995,0.0047530359999999995,0.0051677558,0.004906807,0.0064780969999999995,0.0047530359999999995,0.005809341,0.0056999046,,0.004944233,0.0046895216,0.0045280903999999995,0.0061021847999999995,0.019038718,0.004941238,0.005378243,0.013841866000000001,0.0047530359999999995,,0.0046514655,0.0050388933000000006,0.0051210225,0.0051210225,0.004941238,0.0054582,0.0041377116,0.0038569132,0.0043069679999999996,0.02257329,0.005150636,0.01140417,0.0051210225,0.0048431014,0.005508265500000001,0.004906807,0.0059931334,0.019038718,0.005240922,0.0047530359999999995,0.005305788499999999,0.006539426,0.004309868400000001,0.005444049,0.0043069679999999996,,0.005935288,0.0056999046,0.005935288,0.0047530359999999995,0.0050339536,0.0056999046,0.0059859169999999995,0.005444049,0.0045444565,0.0053811395,0.0050339536,0.005722626,,0.0051210225,0.0043326044000000005,0.008844491,0.005444049,0.0041377116,0.005444049,0.019038718,0.005313498000000001,0.00814947,0.005065967,0.006264987,0.0043913204999999995,0.005444049,0.02002493,0.005696941,0.004554466,0.0051677558,0.0048431014,0.0052893333999999995,0.007534897,0.004672974,0.0077916984,0.0057479376,0.0056999046,0.0051677558,0.0046895216,0.005313498000000001,0.0047530359999999995,0.004554466,,0.0050339536,0.019038718,0.0051210225,0.0048231053999999995,0.0050339536,0.005471685400000001,0.0047530359999999995,0.027734933,0.006344685,0.007457946,0.0048431014,0.005006278,0.004906807,0.0046895216,0.004653206,0.0043069679999999996,0.004906807,0.020769188,0.0077163940000000006,0
chr4:77036680_77036781_+,0.15577817,0.6270715,0.07976115,0.22977394,0.23467961,0.60217583,0.06663509,0.6547423000000001,0.1934225,0.22781031,0.60971165,0.53322107,0.15260535,0.15695155,0.19510703,0.60456747,0.23010632,0.6547423000000001,0.15744345,0.15695155,0.60456747,,0.14669031,0.39826393,0.36096716,0.22781031,0.15577817,0.47903714,0.64593786,0.60217583,0.64642316,0.19675887,0.15835069,0.15695155,0.15801018,0.2930026,0.11039943,0.15835069,0.04674964400000001,0.3964738,0.1763344,0.1934225,0.49036852,0.60456747,0.07968726,0.01707772,0.6140191999999999,0.32041842,0.58334905,0.14616486,0.6299744,0.2930026,0.06663509,0.60971165,0.60456747,0.60971165,0.22781031,0.6547423000000001,0.60456747,0.16717324,0.6487745,0.18048467,0.46850935,0.47381833,0.60202926,0.06663509,0.45563492,0.33970500000000003,0.19182415,0.6129126,0.15695155,0.6487745,0.28235453,0.60971165,,0.15651099999999998,0.3290509,0.15260535,0.6487745,0.42729867,0.40397459999999996,0.058123242,0.60971165,0.12082607,0.6354964,0.40355490000000005,0.60971165,0.31611118,0.60456747,0.60456747,0.60971165,0.15744345,0.6207283,0.15695155,0.078336515,0.15577817,0.33664286,0.33098936,0.64642316,0.5610892,0.6547423000000001,0.16099854,0.5495432,0.342922,0.5181917,0.28025627,0.15590508,0.14558983,0.49036852,0.15744345,0.17322287,0.2930026,0.6547423000000001,0.2586101,0.7139666,1
